date,open,close,high,low,amount
2023-09-07,542.23,524.72,542.23,524.72,1182367.0
2023-09-08,522.02,516.63,526.06,514.32,760728.0
2023-09-11,513.36,523.18,527.22,510.48,938103.0
2023-09-12,519.71,526.83,532.6,516.25,953259.0
2023-09-13,524.14,518.37,529.53,516.44,595155.0
2023-09-14,518.37,512.98,519.71,510.86,574964.0
2023-09-15,516.06,515.48,523.95,511.82,849233.0
2023-09-18,512.21,516.63,524.52,506.24,719635.0
2023-09-19,515.09,509.51,515.67,507.59,628649.0
2023-09-20,511.05,505.47,512.78,503.74,496994.0
2023-09-21,502.59,498.55,506.43,498.55,616572.0
2023-09-22,495.08,509.51,510.09,494.7,948143.0
2023-09-25,506.63,513.94,517.21,505.09,859498.0
2023-09-26,512.4,513.17,518.75,511.63,629863.0
2023-09-27,513.17,543.96,548.58,512.59,2397488.0
2023-09-28,543.57,535.11,547.81,534.53,1333713.0
2023-10-09,532.6,531.64,536.65,525.48,923188.0
2023-10-10,531.64,524.14,534.34,523.75,751150.0
2023-10-11,529.33,528.95,541.26,526.83,979007.0
2023-10-12,532.8,535.88,537.8,526.83,1021259.0
2023-10-13,529.33,525.87,529.33,521.44,847959.0
2023-10-16,522.79,516.83,531.26,513.75,795213.0
2023-10-17,519.13,514.71,520.48,511.82,556290.0
2023-10-18,514.52,507.97,514.52,506.82,525816.0
2023-10-19,502.97,500.08,509.71,498.93,768497.0
2023-10-20,496.43,501.82,505.86,494.5,918720.0
2023-10-23,497.01,485.46,497.78,481.03,984356.0
2023-10-24,485.46,485.46,488.92,476.61,822169.0
2023-10-25,489.5,484.5,493.16,482.38,816099.0
2023-10-26,473.15,470.07,475.45,459.68,1325663.0
2023-10-27,463.91,490.85,492.58,463.33,1338117.0
2023-10-30,485.85,494.31,498.55,484.5,960139.0
2023-10-31,471.41,474.49,482.19,470.84,1554971.0
2023-11-01,471.03,459.1,473.53,457.17,1552874.0
2023-11-02,457.56,441.39,460.25,441.2,1768632.0
2023-11-03,441.2,450.25,453.33,440.82,1285267.0
2023-11-06,453.52,461.41,467.37,453.13,1422177.0
2023-11-07,461.6,461.02,462.37,454.09,963845.0
2023-11-08,459.48,460.83,466.8,456.79,990709.0
2023-11-09,458.14,476.61,482.77,456.6,2343945.0
2023-11-10,472.38,462.95,472.76,462.95,1247917.0
2023-11-13,466.22,468.91,473.34,463.52,893799.0
2023-11-14,470.45,466.8,474.68,463.91,1063104.0
2023-11-15,475.45,479.5,484.31,471.61,1802203.0
2023-11-16,476.03,466.41,476.61,466.22,1223517.0
2023-11-17,462.56,464.1,464.29,459.48,815409.0
2023-11-20,463.91,462.18,465.83,456.6,767486.0
2023-11-21,463.72,458.33,466.99,457.75,886264.0
2023-11-22,455.83,448.71,457.75,448.71,822508.0
2023-11-23,448.51,450.44,451.59,445.05,705213.0
2023-11-24,449.67,443.51,449.67,443.13,711019.0
2023-11-27,443.13,431.0,443.13,430.04,1053338.0
2023-11-28,429.08,431.58,432.93,425.81,695859.0
2023-11-29,431.58,423.11,432.54,421.96,833084.0
2023-11-30,422.15,418.69,426.19,417.92,758319.0
2023-12-01,416.19,418.3,419.84,411.95,942753.0
2023-12-04,418.5,415.42,421.38,415.42,639287.0
